tweet,date,Agent,Role
@xIce_Phoenix It’s oki,2021-09-29 22:39:13,Phoenix,Duelist
@FarandWidecom This list left off the best steak houses in Phoenix/Scottsdale - Steak 44 and Dominick's and chose the tired Durant's instead?  Bogus!,2021-09-29 22:39:07,Phoenix,Duelist
@Wonder_Phoenix My only question is you looking for partner to bench press with or a partner to bench press?,2021-09-29 22:39:03,Phoenix,Duelist
"✈️National Flight Deals
San Francisco &gt; Phoenix 
Departure: 14-10-2021 
Return: 17-10-2021
Round trip from 58.00$

https://t.co/CHdHD2aHpn

#elandfly #sanfrancisco #phoenix #flights #cheapflights #holidays #travel #vacations",2021-09-29 22:39:01,Phoenix,Duelist
"@LEGACYDEFEND That's alright! You're such a sweet tooth, hehe. Here we are now! [The ice cream shop is in their sights, and Phoenix tugs on Miles' sleeve again slightly in excitement.]",2021-09-29 22:38:56,Phoenix,Duelist
Check out Vintage MS Boheme Rosenthal Germany Collector Plate  https://t.co/yFC9exChBl @eBay new york city buffalo boston chicago milwaukee minneapolis nyc kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles paris london,2021-09-29 22:38:56,Phoenix,Duelist
A Spooktacular Halloween - Undertale Comic Dub (Ft. Phoenix Prime) https://t.co/DcGeLt2jbQ via @YouTube,2021-09-29 22:38:49,Phoenix,Duelist
"I'm at Moon Valley Meadows in Phoenix, AZ https://t.co/tgMJwRmWty",2021-09-29 22:38:40,Phoenix,Duelist
Magneto and Phoenix alone would very likely take the Avengers down. And if you add Wolverine it’s just cheating at that point. https://t.co/SXH4mM2eM6,2021-09-29 22:38:38,Phoenix,Duelist
@PhoeniixUwU @xeroara @iionhe @noncekiller42 So sorry Phoenix,2021-09-29 22:38:32,Phoenix,Duelist
@xavierck3d I mean.... 👀,2021-09-29 22:38:26,Phoenix,Duelist
Vintage WXLW Indianapolis 950 Music-News 1948-1958 Wellington Balboa Lighter IN  https://t.co/RoA8ERoJsI @eBay new york city buffalo boston chicago milwaukee minneapolis kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles,2021-09-29 22:38:14,Phoenix,Duelist
Salmon For Arizona Governor Statement On Trump Decision In Gubernatorial Race Phoenix – Former Congressman and R https://t.co/rWzueaKQto,2021-09-29 22:38:14,Phoenix,Duelist
Congrats @britneyspears 👏🏼👏🏼 I’ll be celebrating tonight if anyone wants to join!,2021-09-29 22:38:12,Phoenix,Duelist
"Have you ever had a role like ""Tax Consultant Intern (Accounting) (Winter 2022)""? What did you like most about that job? #Finance #Phoenix, AZ",2021-09-29 22:38:10,Phoenix,Duelist
Who is playing who? High school football teams scramble to find opponents https://t.co/2ySOftLq51,2021-09-29 22:38:10,Phoenix,Duelist
"#NEW: The Phoenix mother accused of opening fire on her two children, killing one, is now charged with first-degree murder. Police believe the mom intentionally pulled the trigger, because she ""wanted them to go to heaven"". (per: @abc15) 
https://t.co/4s4RytP3wW",2021-09-29 22:38:08,Phoenix,Duelist
@High_C333 &amp; Jean has the Phoenix force?? What we doing here 😭,2021-09-29 22:37:44,Phoenix,Duelist
I literally dreamt this shit and made it happen. A rose that grew from concrete fr! When I was deciding where I wanted to move I didn’t have a job offer in Phoenix but God led me to make the decision that was best for me! Anything I put my mind to I WILL make it happen. https://t.co/NTKCkKcwGK,2021-09-29 22:37:35,Phoenix,Duelist
@scarIetbitch2 All it takes is Scott taking a bad hit and the Phoenix shows up and erases everyone lol,2021-09-29 22:37:28,Phoenix,Duelist
Check out Rolling Stones Four Licks 4 DVD Set NEW SEALED   https://t.co/9mFYLGKXuG @eBay new york city buffalo boston chicago milwaukee minneapolis nyc kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles las vegas reno,2021-09-29 22:37:27,Phoenix,Duelist
"@camcountry please bring your tour to Phoenix. I will buy tickets and then cry real tears of joy. k, thanks. #isaidplease",2021-09-29 22:37:07,Phoenix,Duelist
The scarlet witch vs. The Dark Phoenix? https://t.co/2xWD1xKN3D,2021-09-29 22:37:04,Phoenix,Duelist
"@PhozzoJE I honestly see you guys being really scary soon, almost there 👀",2021-09-29 22:36:48,Phoenix,Duelist
@Wonder_Phoenix .... challenge,2021-09-29 22:36:26,Phoenix,Duelist
"@rickcontn @Qtah_17 Barack Obama came out and said boarders are needed, OBAMA WANTS AMERICANS TO KEEP THEIR EYES OFF HIM WHILE HE DOES HIS EVIL DEEDS! He’s Taken George Soros’s Name “The Phoenix”! Research that Whitchcraft! Renegade was Barack Obama’s code name when he was president! https://t.co/IXcPIQKi5L",2021-09-29 22:36:25,Phoenix,Duelist
"My official Worlds songs ranking:
8. Take Over
7. Rise
6. Worlds Collide
5. Burn it all down
4. Warriors
3. Ignite
2. Phoenix
1. Legends Never Die",2021-09-29 22:36:24,Phoenix,Duelist
"@shrugtal Yep, had to remove mine today when playing Mirage. No more heirloom pose for now, hopefully they fix it sooner rather than later.",2021-09-29 22:36:13,Phoenix,Duelist
Check out Vintage 1975 Mount Prospect Police 2nd Invitational Patch   https://t.co/sizlNpwZu4 via @eBay new york city buffalo boston chicago milwaukee minneapolis nyc kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles,2021-09-29 22:36:12,Phoenix,Duelist
"After so many things they've been thru they made it all the way to the end and now they became one of the beautiful star in the galaxy and will always be. Ace and Phoenix

@kkyuvantes https://t.co/KukdSAhmTS",2021-09-29 22:36:08,Phoenix,Duelist
10 Best Phoenix RV Resorts For Snowbirds https://t.co/25lZ7Ujpip - @RVingOutdoors #RV #RVing #Outdoors,2021-09-29 22:36:04,Phoenix,Duelist
@LariiCole @zeyta9 @Drebae_ hell you do know classic thor even beat dark phoenix right? 🤨,2021-09-29 22:35:42,Phoenix,Duelist
1972-73 IHSAA Registered Official Patch + Win pin Indiana   https://t.co/4Khmm81HfV via @eBay new york city buffalo boston chicago milwaukee minneapolis nyc kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles indianapolis,2021-09-29 22:35:34,Phoenix,Duelist
"okay actually wtf are you guys looking at
-phoenix",2021-09-29 22:35:02,Phoenix,Duelist
"#DimashonTikTok
#DearsonTikTok
#Tiktokhot 

Catch Zero @Phoenix_Flame21
11,000 😍💥💥💥💥💥

https://t.co/e87jGAMvN6",2021-09-29 22:34:55,Phoenix,Duelist
Vintage Detroit Police Civil Defense Button CD MI Michigan   https://t.co/0rGoDs8VG2 @eBay new york city buffalo boston chicago milwaukee minneapolis nyc kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles reno ann arbor,2021-09-29 22:34:44,Phoenix,Duelist
@LariiCole @zeyta9 @Drebae_ Lol yes you must not know about rune king thor? you know the master of the odinforce? which is literally stronger than the phoenix force? rune king thor is omnipotent and literally one-shotted fate and the true yggdrassil,2021-09-29 22:34:27,Phoenix,Duelist
"@parthmiyani3 hey Parth, My startup Flexr is based in Phoenix. How can I get a hold of you?",2021-09-29 22:34:21,Phoenix,Duelist
@StupidCamiii I’m interested in the Phoenix just one sec,2021-09-29 22:34:08,Phoenix,Duelist
@phoenix_7_9 Kinda telling on her privilege that this is the worst thing she's been called,2021-09-29 22:34:00,Phoenix,Duelist
Vintage Mutual of Omahas Wild Kingdom Marlin Perkins Jim Fowler Coffee Mug   https://t.co/c4jL8aMm2I @eBay new york city buffalo boston chicago milwaukee minneapolis nyc kansas city denver phoenix houston dallas birmingham san antonio angelo francisco diego bernardino los angeles,2021-09-29 22:33:50,Phoenix,Duelist
"Come join us for our in-person event, Condition Assessment Seminar held by the Engineering &amp; Research Committee! Learn about prioritizing what to replace or repair through condition assessment. Held at the Phoenix Club in Anaheim. Register now!

https://t.co/DSd7ZJh23p https://t.co/a3s7DIna9w",2021-09-29 22:33:47,Phoenix,Duelist
I WILL MISS ACE AND PHOENIX:((,2021-09-29 22:33:39,Phoenix,Duelist
@Dokkan_Phoenix Hell yea,2021-09-29 22:33:07,Phoenix,Duelist
St. Mary's Food Bank needing help ahead of holiday season https://t.co/92Uz4NkBKJ,2021-09-29 22:32:57,Phoenix,Duelist
Fear is a phoenix. You can watch it burn a thousand times and still it will return.,2021-09-29 22:32:55,Phoenix,Duelist
"@TLGAtiena Phoenix was considering giving in.

“How much do you want a cub?”",2021-09-29 22:32:52,Phoenix,Duelist
"@TheAsiaDrake I remember playing Marvel Alliance on Facebook and they had this sort of event where you can take sides. Of course, the Phoenix Force still ends as a loss cause.",2021-09-29 22:32:48,Phoenix,Duelist
@boyoucrazy The same Jean with the phoenix force? She can wipe that entire team alone,2021-09-29 22:32:34,Phoenix,Duelist
Chaos Magic VS Phoenix Force 🔥🔥🔥 https://t.co/FDDLIGsqED,2021-09-29 22:32:33,Phoenix,Duelist
Do anyone live in north Phoenix and wanna give me a ride to get my hair done lol I’ll pay you,2021-09-29 22:32:33,Phoenix,Duelist
Time to make a breakdown video on phoenix,2021-09-29 22:32:32,Phoenix,Duelist
@DameDinero_ I would love to see a Wanda vs  Jean ( Phoenix),2021-09-29 22:32:31,Phoenix,Duelist
"@BrianEntin Hello from Phoenix, AZ!",2021-09-29 22:32:22,Phoenix,Duelist
"@TheMeat2 Sandbox is a sandbox. However, you can use the mod maker being made for it to make items that can be used to summon on banners, so you can make a currency for your mod, or give a base line file for multiple mods to use. Vanilla units are free, but modded units COULD have a cost.",2021-09-29 22:32:12,Phoenix,Duelist
Just posted a photo @ The Texas Trust CU Theatre https://t.co/bFmP5HgHi5,2021-09-29 22:31:48,Phoenix,Duelist
"The baby being taken over the fence in Kabul has made it to Phoenix, Arizona with her parents. Read this amazing story. https://t.co/n4yhPkkWuL",2021-09-29 22:31:38,Phoenix,Duelist
I don't do this often but #wipwednesday time perhaps 👀 pls accept some sappy domestic narumitsu w Phoenix teasing Miles about his relation to an historic defence attorney https://t.co/y4uChPdr8h,2021-09-29 22:31:32,Phoenix,Duelist
@Phoenix_Ash3s Last day of Rektember today. Be funny if it pumped straight out the October open.,2021-09-29 22:31:26,Phoenix,Duelist
"MULTI ADSBX MANOEUVRING ALERT : At time Wed Sep 29 23:12:43 2021 #N620FB   was likely to be manoeuvring at FL105 5nm from PXR Phoenix_VORTAC_US
 near 34, West Wilshire Drive, Willo, Encanto, Phoenix,  #AvGeek #ADSB https://t.co/zG5bkJtRnQ https://t.co/ARj5kfqGAs",2021-09-29 22:31:23,Phoenix,Duelist
@Phoenix_Ash3s Hear hear! My internet is down. I’m over the feckin moon! 😂,2021-09-29 22:31:04,Phoenix,Duelist
@MiamiMadeKeem @zeyta9 @Drebae_ Against Dark Phoenix?!?! https://t.co/CYVQTqUIIy,2021-09-29 22:31:01,Phoenix,Duelist
"I am very happy that the Rotary Club of Phoenix supports indigenous communities, in this case children from the Bacusa municipality of Quiriego, Sonora who, due to their poor health, use wheelchairs.  Thanks to Leonard Kawecki and Dale Gray, Scottsdale Rotary Club for donating. https://t.co/ZPJDjqpZiw",2021-09-29 22:30:53,Phoenix,Duelist
"Sharing a post from my LinkedIn account.  Summer in Flagstaff now transitions to Fall in Paradise Valley. After a busy four months in the cool pines, we will be happy to see our Phoenix friends again!
https://t.co/OO6uFN5Si6",2021-09-29 22:30:44,Phoenix,Duelist
"#MoonGeeseFacts A single feather of a Moon Goose can bring a person back to life, but they're erroneously named 'Phoenix Down' feathers.",2021-09-29 22:30:37,Phoenix,Duelist
"@_azulore @GALJARO @Selbar_Selangor @gagakserak @dailysciencevid Phoenix University grad, are ye? Lol. You GIF'ers. It's okay to use words, ye know.",2021-09-29 22:30:30,Phoenix,Duelist
@Dokkan_Phoenix @Carlthedog5 s q u a r e https://t.co/2ryHS16zWg,2021-09-29 22:30:30,Phoenix,Duelist
"@OhNoSheTwitnt The gag is, she doesn't even need the Phoenix to do it lol 🤷🏾‍♀️",2021-09-29 22:30:28,Phoenix,Duelist
@Phoenix_Astral we beastcoast fans are tough &gt;:),2021-09-29 22:30:10,Phoenix,Duelist
"Protect yourself &amp; your valuable belongings when you rent. Remember, your landlord is not responsible for your belongings. Renter insurance is very affordable way to cover  for a variety of unexpected events. Read more.
https://t.co/zedyRKXPXy
#AimproInsurance#HomeownersInsurance https://t.co/e5TVWTa1cL",2021-09-29 22:30:09,Phoenix,Duelist
@Phoenix_Ash3s Literally playing it rn ..,2021-09-29 22:30:04,Phoenix,Duelist
"@THEZACH2 The stream dies everything she closes it? NOOOOOOOOOOO
Wait, does this mean the Stream is a phoenix then? New lore?",2021-09-29 22:30:03,Phoenix,Duelist
"Fuck opinions, I do me whenever I want",2021-09-29 22:30:00,Phoenix,Duelist
@ShiroAF2 Bit by bit we'll get there,2021-09-29 22:29:47,Phoenix,Duelist
UGH! I'M SO FUCKING HAPPY!,2021-09-29 22:29:44,Phoenix,Duelist
"Spooky SZN is almost here but do you know what’s more spooky? 
A ManBush 
Tune in tonight as our @BellyUpSports https://t.co/4njTinMnfA @manscaped Chevy hits the track at Phoenix in the @EliteRacing_ Cup Series. https://t.co/qwPmS2zTdN",2021-09-29 22:29:42,Phoenix,Duelist
@3_Thousand Dark Phoenix could wipe out all them. I don’t even like Professor X but he prolly could have hulk under some mind control cuz he nutting quick off a damn hand rubs from Widow.,2021-09-29 22:29:36,Phoenix,Duelist
@Wonder_Phoenix Toby when he read your Tweet https://t.co/usBXMnQH2g,2021-09-29 22:29:33,Phoenix,Duelist
"@EsfandTV ""Esfand: I just streamed on Friday, travelled to Iowa on Saturday did an IRL tailgate stream, stayed up all night to not miss my flight, slept on the car ride flew to Phoenix slept for 2 hours, flew to Austin 🤣🤣""",2021-09-29 22:29:31,Phoenix,Duelist
Startup founders / entrepreneurs in #Phoenix : connect with @kristinslice - totally gets the entrepreneurial journey &amp; is a great resource to help get you tapped into this city. Respect 🙌,2021-09-29 22:29:27,Phoenix,Duelist
@KeyUtifull Body bag for the Phoenix force.,2021-09-29 22:29:19,Phoenix,Duelist
This is an excellent rebuttal from @MForstater. It was remiss of @IndexCensorship to not take into account that Phoenix Andrews has a long history of fake accusations of bigotry within her profession and is well known as a bully. https://t.co/qRBBew58XE,2021-09-29 22:29:15,Phoenix,Duelist
"BRITNEY's FREE, BITCH!!!",2021-09-29 22:29:13,Phoenix,Duelist
"@Carlthedog5 Res F has an entire SA done and 1/2 on the other unit, BOG has about half of 1 SA, and 1/5th the active, Moro has multiple major frames, and its storyboards are done, and ToD has a bunch of stuff done, cause the SSBKK Project.",2021-09-29 22:29:12,Phoenix,Duelist
"SAP-OTC-Senior: At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY… https://t.co/4TILlRooBe",2021-09-29 22:29:11,Phoenix,Duelist
@Makoto_Phoenix @chatleaksbrawl dang i really must have hurt YOUR pride. I typed out 7 words and you had to reply with a long ass paragraph😹😹😹😹XDDD,2021-09-29 22:28:49,Phoenix,Duelist
"@milftickler @nateakatexas @przidnt1 @doitgrip @dnkshdw She and Hope did. Let's be clear. And it was only when hope held the Phoenix force within her

Also, Wanda's mental blocks and telepathic skills aren't that good. Telepaths not even as strong as Jean or as skilled as Processor X can shut her down.",2021-09-29 22:28:47,Phoenix,Duelist
"Single Family Detached in Phoenix, AZ. Call Capstone Realty at (602) 354-5404 for more information. https://t.co/Fcu7xid9wt",2021-09-29 22:28:45,Phoenix,Duelist
"Interested in a job in Phoenix, AZ? This could be a great fit: https://t.co/wYETcV8Jke #JoinThePursuit #LabcorpCareers",2021-09-29 22:28:38,Phoenix,Duelist
@greggutfeld Unretire Steve Phoenix Jr.,2021-09-29 22:28:35,Phoenix,Duelist
@DIORDELUSION He walks into Mr. Phoenix’s office knowing that he was late. He had a monster in his hand to keep himself awake. “Sorry for being late again sir. I will try my best not to be late again. I had a little problem at home.” https://t.co/Mz693eTzr5,2021-09-29 22:28:30,Phoenix,Duelist
@phoenix_bangtan @pjmvelvets Why are we like that?! 😂,2021-09-29 22:28:12,Phoenix,Duelist
@nft_phoenix Hey! 3rd drop from this collection tomorrow 🚀 https://t.co/htfTGzJZZu,2021-09-29 22:28:11,Phoenix,Duelist
@PosterRick @DonLew1s @thevincedao No one cares about it. Have you even talked to a suburban Phoenix voter?,2021-09-29 22:28:08,Phoenix,Duelist
i literally cant find the dark phoenix toys era kurt ANYWHERE . this is homophobia agaisnt me specifically,2021-09-29 22:28:00,Phoenix,Duelist
1901 by Phoenix. https://t.co/zp4FgxiNoj,2021-09-29 22:27:58,Phoenix,Duelist
"Phoenix: Edgeworth, how are you feeling? You look a little pale in the face.
Edgeworth: Like you're one to talk with your face all green.
von Karma: ...Miles Edgeworth. Go and get some air. I'll watch over the suspect. You go and get a grip on yourself.",2021-09-29 22:27:51,Phoenix,Duelist
@playnewworld @Mackie_Phoenix Must be nice to be able to log on.  Everyone that got on yesterday and put a full day's time in can't get on today.  No server transfers.  What a mess.,2021-09-29 22:27:41,Phoenix,Duelist
I know my GOAT 🐐🐐 https://t.co/SI9wZbM8pH,2021-09-29 22:27:38,Phoenix,Duelist
"@TylerDinucci speaking of winning, imagine the kind of Latino Phoenix person we can get to fill Gallego's seat",2021-09-29 22:27:38,Phoenix,Duelist
"@OhNoSheTwitnt Yeah, from what I recall the only things able to operate on the same level as the Phoenix unleashed are cosmic entities. And even they would have trouble. Usually the only real limit to the Phoenix is the host's self imposed limits.",2021-09-29 22:27:31,Phoenix,Duelist
@Bulgarelli1971 Phoenix Suns,2021-09-29 22:26:59,Phoenix,Duelist
"Black Rock Coffee Bar opens its 19th location in Phoenix.
https://t.co/acBvp3mVwb",2021-09-29 22:26:55,Phoenix,Duelist
"Bring your ideas, shape the digital #futureofwork as a Deskside Support Engineer. https://t.co/nCTuri0Ulp #Phoenix, AZ",2021-09-29 22:26:47,Phoenix,Duelist
"@tritesucks Things got a little wild from there on, but they seemed to grasp the situation quickly. Phoenix and Diego were taken into the same ambulance, with Diego conscious they figured this would be more efficient than waiting for another. Phoenix was still out cold.",2021-09-29 22:26:40,Phoenix,Duelist
@xavierck3d @Wonder_Phoenix Beat me to it 😂,2021-09-29 22:26:33,Phoenix,Duelist
"@Dokkan_Phoenix just do bog, its the only other card that ive seen actual progress for",2021-09-29 22:26:22,Phoenix,Duelist
"@teatheamateur Especially if Phoenix makes an appearance. Only people surviving are Scarlett Witch, Thor, and maybe Hulk. Them humans are toast lol",2021-09-29 22:26:22,Phoenix,Duelist
"If you're looking for work in #Phoenix, AZ, check out this job: https://t.co/UHpumbUazo #Education",2021-09-29 22:25:57,Phoenix,Duelist
@Phoenix_Ash3s Don’t you want the dessert?..,2021-09-29 22:25:47,Phoenix,Duelist
I want y’all to look up the X-Men’s true powers and abilities. I love The Avengers but……….Jean when she transforms into The Phoenix is a big ass problem. https://t.co/cncSUAVEqs,2021-09-29 22:25:43,Phoenix,Duelist
@Wonder_Phoenix Fixed that for you https://t.co/GJ58Dk7xNu,2021-09-29 22:25:36,Phoenix,Duelist
@Phoenix_Ash3s All in as off today 🤷🏻‍♂️ (or let’s say as off couple of hours),2021-09-29 22:25:26,Phoenix,Duelist
"@OhNoSheTwitnt @LisaKShortt Phoenix host or Phoenix mutant.

Cause it really makes a difference with that whole reality warping thing.",2021-09-29 22:25:23,Phoenix,Duelist
"Wake me up, when REKTEMBER ends🎵",2021-09-29 22:24:57,Phoenix,Duelist
The Phoenix saga 🔥🔥,2021-09-29 22:24:56,Phoenix,Duelist
@theceelife Their actually is a comic of avengers vs X-men. One of my favorite actually https://t.co/UG7dZF8zXM,2021-09-29 22:24:51,Phoenix,Duelist
@LilSmoked You right but they got Wolverine magneto and Jean grey if she go Phoenix it’s curtains magneto is just a menace to society,2021-09-29 22:24:39,Phoenix,Duelist
Phoenix Wright is one of the most innacurate law games ever. But it's still really fun.,2021-09-29 22:24:32,Phoenix,Duelist
@Phoenix_Ash3s I thought yesterday you were bearish,2021-09-29 22:24:30,Phoenix,Duelist
Just booked flight to Phoenix for the 2022 @WasteManagement Open at Scottsdale @PGATOUR #tpcscottsdale,2021-09-29 22:24:17,Phoenix,Duelist
@SimWorst Top bbq joint in Phoenix,2021-09-29 22:24:16,Phoenix,Duelist
@AustinAnadu__ Make we terminate him loan.,2021-09-29 22:24:00,Phoenix,Duelist
@Dokkan_Phoenix Limitless meaning we can get as many as we want from the shop.,2021-09-29 22:23:52,Phoenix,Duelist
"Can’t speak my mind 
I love you
I got demons inside my head
Quote me and your dead
Angels sing me to sleep
Like which rapper holds you up mostly listen since sinsay said my name like kamikaze I’ll be arising from the dead
Phoenix ashes spread as I soar out this silenced cocoon.I",2021-09-29 22:23:31,Phoenix,Duelist
"@Dokkan_Phoenix One question I have about this, how exactly do we obtain stones? Do we have a ""limitless"" supply or what events come out?",2021-09-29 22:23:27,Phoenix,Duelist
@trusumless Hi there Canelo!,2021-09-29 22:23:25,Phoenix,Duelist
"@Wonder_Phoenix “Boba Fett fucks.” — Boba Fett, in The Book of Boba Fucking Fett",2021-09-29 22:23:15,Phoenix,Duelist
"@Wonder_Phoenix that actually make me think….have they cursed in Star Wars the way we do? 

I know relative terms but i cant remember a “Ah god damnit the Empire’s here” or “Oh shit Boba Fett!!” or “FUCK…..is that Vader!?!?""",2021-09-29 22:23:12,Phoenix,Duelist
"@jeremy_lee92 We won't have digital purchasing available via the Xbox store until October 1st. We'll notify via our social channels when ready.

Unfortunately, we can't speak to why those local stores may be delayed.",2021-09-29 22:22:45,Phoenix,Duelist
THE GHOST OF BELA LUGOSI - They Only Come Out At Night https://t.co/nq7KWgxKaR  . only one of just a few of that whatever named that sound like incl. a smile after all to phoenix .  via @YouTube i dont like horror movies (-:,2021-09-29 22:22:37,Phoenix,Duelist
"@drujaw Running into resistance.

I get the point tho",2021-09-29 22:22:37,Phoenix,Duelist
"@craigharrison84 It is and TY.
Another of my Phoenix friends
Knock us down and we rise again again and again",2021-09-29 22:22:23,Phoenix,Duelist
"@pxwhittle Exactly.

If only it could be like the phoenix and reappear like New Order.",2021-09-29 22:22:23,Phoenix,Duelist
"We are now entering the 2nd recessionary wave of what I call ""The Phoenix Great Depression.""  What's that?  Here's my explanation, written in early March of 2020.  Remember what March 2020 was like?  https://t.co/e3kw9jZ0Ld",2021-09-29 22:22:16,Phoenix,Duelist
"Don't overlook this! One of our friends was picked up off the street Gestapo style, they ran up in unmarked cars and kidnapped them off the street, and then kept their arrest a secret the entire night.
Phoenix is one beast, but those small town cops are SICK. https://t.co/H894AUmzqx",2021-09-29 22:22:12,Phoenix,Duelist
@KensethFan17_20 Phoenix is good as a regular race. Its an F- for the finale,2021-09-29 22:22:07,Phoenix,Duelist
Who gon stop the Phoenix? Lol https://t.co/OkDcYIHxi9,2021-09-29 22:21:56,Phoenix,Duelist
"Need to find some time to finish this beauty off an get her on display.
For some she is the Phoenix from Battle of the Planets, for others she is the #Godphonix from #gatchaman  #3dprinting #modelmaking #botp #makersgonnamake https://t.co/8NjSqa1Srr https://t.co/zos54Yf8Aa",2021-09-29 22:21:55,Phoenix,Duelist
phoenix wright gay (real) (heavily implied/canon/widely accepted headcanon) https://t.co/HpStvb6EGo,2021-09-29 22:21:43,Phoenix,Duelist
@VegetaCrypto1 20 fear and greed then?,2021-09-29 22:21:40,Phoenix,Duelist
"@PaulMcC68125215 @SafemoonWarrior Lol you can take interpreted it however you want, what if op Phoenix is utilizing small scale wind turbines that can be used for everyone's house 🤔",2021-09-29 22:21:39,Phoenix,Duelist
@scarIetbitch2 Wait I Just Saw rogue  can’t controlled chaos magic we may have a problem… if the phoenix enters the chat they are gone,2021-09-29 22:21:32,Phoenix,Duelist
"Hythlodaeus: We meet again, new old friend.
Me: WHAT’S UP BESTIE?!?! #FFXIV",2021-09-29 22:21:15,Phoenix,Duelist
@JadeAsshai Phoenix potential vs the reality is tricky.,2021-09-29 22:21:15,Phoenix,Duelist
"A new PlayStation 4 game update is available for Phoenix Point

Version: 01.02
Required Firmware: 9.00
Title ID: CUSA20526

https://t.co/mKQuuqM806",2021-09-29 22:21:14,Phoenix,Duelist
@acybersworId PHOENIX GAY AS HELL 😂😂,2021-09-29 22:20:48,Phoenix,Duelist
"Magneto would actually kill all of them in the blink of an eye 

They’re ALL WEARING METAL 💀💀💀

Jean Grey literally is an intergalactic goddess being Phoenix thing (I didn’t even know she could literally deny life) 💀💀💀

And Kitty ends up becoming BUSTED in the comics https://t.co/Xr3qnyqYnz https://t.co/bg1mmqs0JF",2021-09-29 22:20:33,Phoenix,Duelist
At the park with Phoenix 🥰,2021-09-29 22:19:48,Phoenix,Duelist
@FawfulsMinion my prediction phoenix wright any indie character or idk,2021-09-29 22:19:46,Phoenix,Duelist
"@Bolkcom_ @bgpuente @just_sumn @kissmeriver You're using the Phoenix Force as justification for Jean winning when the Phoenix hasn't been bonded to Jean in years. This is just regular Jean Grey, who yes, is powerful, but not Casually Warping Reality Because She's Sad powerful",2021-09-29 22:19:25,Phoenix,Duelist
@Ze_Phoenix adey cry,2021-09-29 22:19:17,Phoenix,Duelist
This little girl at my work cut Courtney Cox scream 3 bangs into her hair and I CAN NOT 😂,2021-09-29 22:19:08,Phoenix,Duelist
@OhNoSheTwitnt Phoenix ♥️ Wanda,2021-09-29 22:19:02,Phoenix,Duelist
"Day 271/365 of Mrs MLG hobby streak, Phoenix. Need to figure out how it goes on the stand haha. 
#mlg365 #hobbystreak #paintingMiniatures https://t.co/t3jiqhb3sr",2021-09-29 22:18:58,Phoenix,Duelist
"We are #hiring Classroom Security Instructional Assistant in Phoenix, AZ https://t.co/DeX12oaPxH #jobs #Phoenix",2021-09-29 22:18:50,Phoenix,Duelist
"It’s been a long day, but I’m home. I can write, cuddle cats, and snuggle @Inky_Phoenix",2021-09-29 22:18:47,Phoenix,Duelist
well if we have full potential phoenix its over for the avengers,2021-09-29 22:18:46,Phoenix,Duelist
"@nft_phoenix Hello there! I'm a brazilian artist&amp;photographer, I do most nature related art (as pixel plants). Hope you enjoy it :) https://t.co/9LnhwxKaFQ",2021-09-29 22:18:45,Phoenix,Duelist
@retroelin Tell me something more awesome than killing a phantom train than with a suplex… yes you can kill it with a Phoenix down but that’s no fun!! Lol https://t.co/rccx2mmNQ1,2021-09-29 22:18:45,Phoenix,Duelist
"Don’t #wait until #later to repent. #Do it #NOW! The #time is short and the #Prophets of #IUIC #Phoenix will show you #prophecy in the #Bible. #Flyer #missions save #lives!

#BootsToTheGround #12tribes #Repent #Trending https://t.co/Jkw9UIqgqb",2021-09-29 22:18:42,Phoenix,Duelist
"@_AceDefense Diego heard them enter and lifted his hand in the air- he couldn't move the other arm at this point. He was too winded to get out any words, so he just tried to move away from his opponent and gesture towards Phoenix.",2021-09-29 22:18:42,Phoenix,Duelist
Let Boba Fett say fuck in his series,2021-09-29 22:18:38,Phoenix,Duelist
FBI Tech Tuesday: Protecting Yourself from Spoofing and Phishing Scams https://t.co/FbuDl6Ldud,2021-09-29 22:18:28,Phoenix,Duelist
"@XRPcryptowolf The tech, innovation, change, future, Also the only Crypto who’s nick name is “The Rising Phoenix” And i love it.",2021-09-29 22:17:55,Phoenix,Duelist
GCU Women’s Rugby is back in action! Read how the team faired in their home opener against the Phoenix Rugby Club! The Lopes hit the field again in a face off with ASU this Saturday at 9am on the GCU Practice Soccer Field! #lopesrising #livethelopelife https://t.co/8XTCoM5Bka,2021-09-29 22:17:51,Phoenix,Duelist
"Dec 4th - We’re going BIG this year in prizes. OVER $4000 BIG. Mark the calendar NOW

https://t.co/HGDP21rmdj
#smokeandjoecigarlounge
#Phoenix #PhoenixAZ #CaveCreek #CaveCreekAZ #Scottsdale #ScottsdaleAZ #AnthemAZ #Cigar #Cigars #CigarLounge #PhoenixCigars #Arizona #ArizonaCigars https://t.co/y2Vf84bDIP",2021-09-29 22:17:50,Phoenix,Duelist
